County,State,County FIPS,Popular vote closeness score method,Party-affiliation proxy distance method,"Est. distance to international airport, mi method",Outdoor recreation score method,Est. trees / acre method,AMC density index method,Est. college students / 1k residents method,Est. single-family $/sq ft method,Est. climate resilience score method,Est. tradespeople / 1k residents method,Est. natural disasters / decade method,Est. D1+ drought days/year method,Est. grocery stores / 10k residents method,Est. walkability score method,Est. public transportation score method,Est. 90F+ days/year method,Est. days below 50F / year method,"Est. annual snowfall, ft method",Est. bad AQI days / year method,Est. homeless people / 10k residents method,Noise pollution index method,Runoff rank,Avg Rank,Runoff wins,Prior spotchecked runoff rank,Runoff rank change vs spotchecked
Lake,OH,39085,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,"restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override",U.S. Drought Monitor candidate-screen direct value,CBP 2023 grocery stores per 10k adjusted by USDA access multiplier,EPA National Walkability Index population-weighted county rollup,"EPA SLD Trans45 measured county composite, shifted into measured tier",retained prior candidate climate estimate; not manually changed in this fix pass,retained prior candidate climate estimate; not manually changed in this fix pass,retained prior candidate snowfall estimate; not manually changed in this fix pass,EPA annual AQI candidate-screen direct value,"data-backed proxy from Zillow housing + USDA poverty/SNAP/food insecurity + walkability/transit, quantile-mapped to workbook scale","data-backed proxy from EPA walkability/transit + CBP employment intensity, quantile-mapped to workbook scale",87,185.76190476190476,0,34,53
Somerset,NJ,34035,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,"restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override",U.S. Drought Monitor candidate-screen direct value,CBP 2023 grocery stores per 10k adjusted by USDA access multiplier,EPA National Walkability Index population-weighted county rollup,"EPA SLD Trans45 measured county composite, shifted into measured tier",retained prior candidate climate estimate; not manually changed in this fix pass,retained prior candidate climate estimate; not manually changed in this fix pass,retained prior candidate snowfall estimate; not manually changed in this fix pass,EPA AQI missing for candidate; same-state median fallback,"data-backed proxy from Zillow housing + USDA poverty/SNAP/food insecurity + walkability/transit, quantile-mapped to workbook scale","data-backed proxy from EPA walkability/transit + CBP employment intensity, quantile-mapped to workbook scale",98,219.11904761904762,0,81,17
Norfolk,MA,25021,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,"restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override",U.S. Drought Monitor candidate-screen direct value,CBP 2023 grocery stores per 10k adjusted by USDA access multiplier,EPA National Walkability Index population-weighted county rollup,"EPA SLD Trans45 measured county composite, shifted into measured tier",retained prior candidate climate estimate; not manually changed in this fix pass,retained prior candidate climate estimate; not manually changed in this fix pass,retained prior candidate snowfall estimate; not manually changed in this fix pass,EPA annual AQI candidate-screen direct value,"data-backed proxy from Zillow housing + USDA poverty/SNAP/food insecurity + walkability/transit, quantile-mapped to workbook scale","data-backed proxy from EPA walkability/transit + CBP employment intensity, quantile-mapped to workbook scale",160,230.66666666666666,0,160,0
Minnehaha,SD,46099,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,"restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override",U.S. Drought Monitor candidate-screen direct value,CBP 2023 grocery stores per 10k adjusted by USDA access multiplier,EPA National Walkability Index population-weighted county rollup,No EPA SLD/GTFS coverage; lower guardrail fallback from peer estimate,retained prior candidate climate estimate; not manually changed in this fix pass,retained prior candidate climate estimate; not manually changed in this fix pass,retained prior candidate snowfall estimate; not manually changed in this fix pass,EPA annual AQI candidate-screen direct value,"data-backed proxy from Zillow housing + USDA poverty/SNAP/food insecurity + walkability/transit, quantile-mapped to workbook scale","data-backed proxy from EPA walkability/transit + CBP employment intensity, quantile-mapped to workbook scale",173,205.57142857142858,0,141,32
Henrico,VA,51087,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,"restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override",U.S. Drought Monitor candidate-screen direct value,CBP 2023 grocery stores per 10k adjusted by USDA access multiplier,EPA National Walkability Index population-weighted county rollup,No EPA SLD/GTFS coverage; lower guardrail fallback from peer estimate,retained prior candidate climate estimate; not manually changed in this fix pass,retained prior candidate climate estimate; not manually changed in this fix pass,retained prior candidate snowfall estimate; not manually changed in this fix pass,EPA annual AQI candidate-screen direct value,"data-backed proxy from Zillow housing + USDA poverty/SNAP/food insecurity + walkability/transit, quantile-mapped to workbook scale","data-backed proxy from EPA walkability/transit + CBP employment intensity, quantile-mapped to workbook scale",174,209.26190476190476,0,151,23
Williamson,TN,47187,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,"restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override",U.S. Drought Monitor candidate-screen direct value,CBP 2023 grocery stores per 10k adjusted by USDA access multiplier,EPA National Walkability Index population-weighted county rollup,"EPA SLD Trans45 measured county composite, shifted into measured tier",retained prior candidate climate estimate; not manually changed in this fix pass,retained prior candidate climate estimate; not manually changed in this fix pass,retained prior candidate snowfall estimate; not manually changed in this fix pass,EPA annual AQI candidate-screen direct value,"data-backed proxy from Zillow housing + USDA poverty/SNAP/food insecurity + walkability/transit, quantile-mapped to workbook scale","data-backed proxy from EPA walkability/transit + CBP employment intensity, quantile-mapped to workbook scale",189,209.9047619047619,0,171,18
Oakland,MI,26125,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,"restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override",U.S. Drought Monitor candidate-screen direct value,CBP 2023 grocery stores per 10k adjusted by USDA access multiplier,EPA National Walkability Index population-weighted county rollup,"EPA SLD Trans45 measured county composite, shifted into measured tier",retained prior candidate climate estimate; not manually changed in this fix pass,retained prior candidate climate estimate; not manually changed in this fix pass,retained prior candidate snowfall estimate; not manually changed in this fix pass,EPA annual AQI candidate-screen direct value,"data-backed proxy from Zillow housing + USDA poverty/SNAP/food insecurity + walkability/transit, quantile-mapped to workbook scale","data-backed proxy from EPA walkability/transit + CBP employment intensity, quantile-mapped to workbook scale",191,220.83333333333334,0,106,85
Dubuque,IA,19061,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,"restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override",U.S. Drought Monitor candidate-screen direct value,CBP 2023 grocery stores per 10k adjusted by USDA access multiplier,EPA National Walkability Index population-weighted county rollup,No EPA SLD/GTFS coverage; lower guardrail fallback from peer estimate,retained prior candidate climate estimate; not manually changed in this fix pass,retained prior candidate climate estimate; not manually changed in this fix pass,retained prior candidate snowfall estimate; not manually changed in this fix pass,EPA AQI missing for candidate; same-state median fallback,"data-backed proxy from Zillow housing + USDA poverty/SNAP/food insecurity + walkability/transit, quantile-mapped to workbook scale","data-backed proxy from EPA walkability/transit + CBP employment intensity, quantile-mapped to workbook scale",247,186.83333333333334,0,86,161
Kanawha,WV,54039,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,"restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override",U.S. Drought Monitor candidate-screen direct value,CBP 2023 grocery stores per 10k adjusted by USDA access multiplier,EPA National Walkability Index population-weighted county rollup,No EPA SLD/GTFS coverage; lower guardrail fallback from peer estimate,retained prior candidate climate estimate; not manually changed in this fix pass,retained prior candidate climate estimate; not manually changed in this fix pass,retained prior candidate snowfall estimate; not manually changed in this fix pass,EPA annual AQI candidate-screen direct value,"data-backed proxy from Zillow housing + USDA poverty/SNAP/food insecurity + walkability/transit, quantile-mapped to workbook scale","data-backed proxy from EPA walkability/transit + CBP employment intensity, quantile-mapped to workbook scale",280,170.35714285714286,0,97,183
Westmoreland,PA,42129,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,"restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override",U.S. Drought Monitor candidate-screen direct value,CBP 2023 grocery stores per 10k adjusted by USDA access multiplier,EPA National Walkability Index population-weighted county rollup,"EPA SLD Trans45 measured county composite, shifted into measured tier",retained prior candidate climate estimate; not manually changed in this fix pass,retained prior candidate climate estimate; not manually changed in this fix pass,retained prior candidate snowfall estimate; not manually changed in this fix pass,EPA annual AQI candidate-screen direct value,"data-backed proxy from Zillow housing + USDA poverty/SNAP/food insecurity + walkability/transit, quantile-mapped to workbook scale","data-backed proxy from EPA walkability/transit + CBP employment intensity, quantile-mapped to workbook scale",293,189.66666666666666,0,271,22
